row_type,pilot_id,pool_id,store_order,store_id,store_name,surface_status,captured_at_utc,collection_scope,collection_url,requested_sort,returned_sort_label,sort_active_state,collection_capture_count,observation_id,raw_rank,product_handle,product_title,product_url,thumbnail_alt,screen_basis,title_thumbnail_screen,pre_origin_detail_disposition,gate0_basis,family_first_observation_id,family_first_rank,detail_opened,review_scope,item_review_count,item_sales_evidence,nonzero_sales_corroboration,provenance_candidate_grade,provenance_candidate_basis,origin_search_state,store_queue_rank,notes
SURFACE,TRACE-PILOT-002,TRACE-P002-POOL-DTC,1,P002-DTC-S01,Boredwalk,COMPLETE,2026-09-25T18:13:28.478Z,Mens TShirts,https://www.boredwalk.com/collections/mens-tshirts?sort_by=best-selling,sort_by=best-selling,Best selling,VERIFIED,24,,,,,,,,,,,,,,,,,,,,,,First 24 products captured from a longer collection.
PRODUCT,TRACE-PILOT-002,TRACE-P002-POOL-DTC,1,P002-DTC-S01,Boredwalk,COMPLETE,2026-09-25T18:13:28.478Z,Mens TShirts,https://www.boredwalk.com/collections/mens-tshirts?sort_by=best-selling,sort_by=best-selling,Best selling,VERIFIED,24,TRACE-P002-OBS-DTC-S01-01,1,mens-ban-the-fascists-save-the-books-t-shirt,Men's Ban The Fascists Save The Books T-Shirt,https://www.boredwalk.com/collections/mens-tshirts/products/mens-ban-the-fascists-save-the-books-t-shirt,,TITLE+RENDERED-THUMBNAIL,CANDIDATE,ORIGIN-PENDING,Highest-ranked canonical family surviving basic/title/thumbnail Gate 0 in this store.,TRACE-P002-OBS-DTC-S01-01,1,YES,ITEM-VISIBLE,400,400 visible item reviews; displayed reviews repeat the exact product title,YES,MEDIUM-CANDIDATE,Store states its products are designed and hand-printed to order in its southern California studio; origin not independently tested.,NOT-RUN,1,Provisional candidate only; mandatory cross-market origin searches and final Gate 0 remain open; no SDC created.
PRODUCT,TRACE-PILOT-002,TRACE-P002-POOL-DTC,1,P002-DTC-S01,Boredwalk,COMPLETE,2026-09-25T18:13:28.478Z,Mens TShirts,https://www.boredwalk.com/collections/mens-tshirts?sort_by=best-selling,sort_by=best-selling,Best selling,VERIFIED,24,TRACE-P002-OBS-DTC-S01-02,2,mens-someday-well-all-be-dead-t-shirt,Men's Someday We'll All Be Dead T-Shirt,https://www.boredwalk.com/collections/mens-tshirts/products/mens-someday-well-all-be-dead-t-shirt,,TITLE+RENDERED-THUMBNAIL,CANDIDATE,SURFACE-PASS-DETAIL-NOT-OPENED,Fixed graphic-shirt family survived the basic/title/rendered-thumbnail screen; detail and origin remain pending if reached.,TRACE-P002-OBS-DTC-S01-02,2,NO,,,,,,,NOT-RUN,2,Deterministic same-store continuation row; inspect only if every earlier store_queue_rank family fails.
PRODUCT,TRACE-PILOT-002,TRACE-P002-POOL-DTC,1,P002-DTC-S01,Boredwalk,COMPLETE,2026-09-25T18:13:28.478Z,Mens TShirts,https://www.boredwalk.com/collections/mens-tshirts?sort_by=best-selling,sort_by=best-selling,Best selling,VERIFIED,24,TRACE-P002-OBS-DTC-S01-03,3,mens-have-the-day-you-deserve-t-shirt,Men's Have The Day You Deserve T-Shirt,https://www.boredwalk.com/collections/mens-tshirts/products/mens-have-the-day-you-deserve-t-shirt,,TITLE+RENDERED-THUMBNAIL,CANDIDATE,SURFACE-PASS-DETAIL-NOT-OPENED,Fixed graphic-shirt family survived the basic/title/rendered-thumbnail screen; detail and origin remain pending if reached.,TRACE-P002-OBS-DTC-S01-03,3,NO,,,,,,,NOT-RUN,3,Deterministic same-store continuation row; inspect only if every earlier store_queue_rank family fails.
PRODUCT,TRACE-PILOT-002,TRACE-P002-POOL-DTC,1,P002-DTC-S01,Boredwalk,COMPLETE,2026-09-25T18:13:28.478Z,Mens TShirts,https://www.boredwalk.com/collections/mens-tshirts?sort_by=best-selling,sort_by=best-selling,Best selling,VERIFIED,24,TRACE-P002-OBS-DTC-S01-04,4,mens-support-your-local-library-t-shirt,Men's Support Your Local Library T-Shirt,https://www.boredwalk.com/collections/mens-tshirts/products/mens-support-your-local-library-t-shirt,,TITLE+RENDERED-THUMBNAIL,CANDIDATE,SURFACE-PASS-DETAIL-NOT-OPENED,Fixed graphic-shirt family survived the basic/title/rendered-thumbnail screen; detail and origin remain pending if reached.,TRACE-P002-OBS-DTC-S01-04,4,NO,,,,,,,NOT-RUN,4,Deterministic same-store continuation row; inspect only if every earlier store_queue_rank family fails.
PRODUCT,TRACE-PILOT-002,TRACE-P002-POOL-DTC,1,P002-DTC-S01,Boredwalk,COMPLETE,2026-09-25T18:13:28.478Z,Mens TShirts,https://www.boredwalk.com/collections/mens-tshirts?sort_by=best-selling,sort_by=best-selling,Best selling,VERIFIED,24,TRACE-P002-OBS-DTC-S01-05,5,mens-oxford-comma-appreciation-society-t-shirt,Men's Oxford Comma Appreciation Society T-Shirt,https://www.boredwalk.com/collections/mens-tshirts/products/mens-oxford-comma-appreciation-society-t-shirt,,TITLE+RENDERED-THUMBNAIL,CANDIDATE,SURFACE-PASS-DETAIL-NOT-OPENED,Fixed graphic-shirt family survived the basic/title/rendered-thumbnail screen; detail and origin remain pending if reached.,TRACE-P002-OBS-DTC-S01-05,5,NO,,,,,,,NOT-RUN,5,Deterministic same-store continuation row; inspect only if every earlier store_queue_rank family fails.
PRODUCT,TRACE-PILOT-002,TRACE-P002-POOL-DTC,1,P002-DTC-S01,Boredwalk,COMPLETE,2026-09-25T18:13:28.478Z,Mens TShirts,https://www.boredwalk.com/collections/mens-tshirts?sort_by=best-selling,sort_by=best-selling,Best selling,VERIFIED,24,TRACE-P002-OBS-DTC-S01-06,6,mens-hell-is-other-people-t-shirt,Men's Hell Is Other People T-Shirt,https://www.boredwalk.com/collections/mens-tshirts/products/mens-hell-is-other-people-t-shirt,,TITLE+RENDERED-THUMBNAIL,IP-EXCLUDED,IP-EXCLUDED,Recognizable Jean-Paul Sartre quotation,TRACE-P002-OBS-DTC-S01-06,6,NO,,,,,,,NOT-APPLICABLE-EXCLUDED,,Gate 0 contamination-control screen; not an infringement or legal conclusion.
PRODUCT,TRACE-PILOT-002,TRACE-P002-POOL-DTC,1,P002-DTC-S01,Boredwalk,COMPLETE,2026-09-25T18:13:28.478Z,Mens TShirts,https://www.boredwalk.com/collections/mens-tshirts?sort_by=best-selling,sort_by=best-selling,Best selling,VERIFIED,24,TRACE-P002-OBS-DTC-S01-07,7,mens-everything-is-terrible-t-shirt,Men's Everything is Terrible T-Shirt,https://www.boredwalk.com/collections/mens-tshirts/products/mens-everything-is-terrible-t-shirt,,TITLE+RENDERED-THUMBNAIL,CANDIDATE,SURFACE-PASS-DETAIL-NOT-OPENED,Fixed graphic-shirt family survived the basic/title/rendered-thumbnail screen; detail and origin remain pending if reached.,TRACE-P002-OBS-DTC-S01-07,7,NO,,,,,,,NOT-RUN,6,Deterministic same-store continuation row; inspect only if every earlier store_queue_rank family fails.
PRODUCT,TRACE-PILOT-002,TRACE-P002-POOL-DTC,1,P002-DTC-S01,Boredwalk,COMPLETE,2026-09-25T18:13:28.478Z,Mens TShirts,https://www.boredwalk.com/collections/mens-tshirts?sort_by=best-selling,sort_by=best-selling,Best selling,VERIFIED,24,TRACE-P002-OBS-DTC-S01-08,8,mens-the-female-gaze-medusa-t-shirt,Men's The Female Gaze Medusa T-Shirt,https://www.boredwalk.com/collections/mens-tshirts/products/mens-the-female-gaze-medusa-t-shirt,,TITLE+RENDERED-THUMBNAIL,CANDIDATE,SURFACE-PASS-DETAIL-NOT-OPENED,Fixed graphic-shirt family survived the basic/title/rendered-thumbnail screen; detail and origin remain pending if reached.,TRACE-P002-OBS-DTC-S01-08,8,NO,,,,,,,NOT-RUN,7,Deterministic same-store continuation row; inspect only if every earlier store_queue_rank family fails.
PRODUCT,TRACE-PILOT-002,TRACE-P002-POOL-DTC,1,P002-DTC-S01,Boredwalk,COMPLETE,2026-09-25T18:13:28.478Z,Mens TShirts,https://www.boredwalk.com/collections/mens-tshirts?sort_by=best-selling,sort_by=best-selling,Best selling,VERIFIED,24,TRACE-P002-OBS-DTC-S01-09,9,mens-everything-is-trash-raccoon-t-shirt,Men's Everything is Trash Raccoon T-Shirt,https://www.boredwalk.com/collections/mens-tshirts/products/mens-everything-is-trash-raccoon-t-shirt,,TITLE+RENDERED-THUMBNAIL,CANDIDATE,SURFACE-PASS-DETAIL-NOT-OPENED,Fixed graphic-shirt family survived the basic/title/rendered-thumbnail screen; detail and origin remain pending if reached.,TRACE-P002-OBS-DTC-S01-09,9,NO,,,,,,,NOT-RUN,8,Deterministic same-store continuation row; inspect only if every earlier store_queue_rank family fails.
