row_type,pilot_id,pool_id,scan_id,query_order,query,sort,surface_status,captured_at_utc,result_url,signed_out,country,language,currency,ship_to_country,scroll_wait_cycles,organic_count,interleaved_ad_count,observation_id,organic_ordinal,listing_id,occurrence_role,title,shop,listing_url,thumbnail_url,title_thumbnail_screen,pre_origin_detail_disposition,gate0_basis,detail_opened,detail_captured_at_utc,official_bestseller,item_review_scope,item_review_count,latest_displayed_item_review_date,attribution_grade,provenance_search_state,queue_lane,queue_rank,notes
SURFACE,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,01-MR,1,graphic t shirt,Most relevant,COMPLETE,2026-09-25T18:01:24.473Z,https://www.etsy.com/search?q=graphic%20t%20shirt&instant_download=false&order=most_relevant,YES,United States,English (US),USD,United States,0,12,0,,,,,,,,,,,,,,,,,,,,,,No interleaved ad card rendered before organic ordinal 12.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,01-MR,1,graphic t shirt,Most relevant,COMPLETE,2026-09-25T18:01:24.473Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-01-MR-01,1,4572677796,CANONICAL-FIRST,"Dancing Cryptids Graphic Tee, Bigfoot Mothman Alien Vintage Comfort Colors Unisex Shirt, Weirdcore Washed Oversized T-Shirt, Halloween Gift",CitrusTeeShop,https://www.etsy.com/listing/4572677796/dancing-cryptids-graphic-tee-bigfoot,https://i.etsystatic.com/61796851/r/il/6f4cdb/8504144272/il_510x638.8504144272_jtpy.jpg,CANDIDATE,ORIGIN-PENDING,Fixed graphic-shirt candidate; item page opened; mandatory cross-market origin searches not yet run.,YES,2026-09-25T18:06:25.464Z,NO,ITEM-SPECIFIC,1,2026-09-23,EXACT,NOT-RUN,,,First occurrence retained; not in a cohort queue after evidence/disposition checks; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,01-MR,1,graphic t shirt,Most relevant,COMPLETE,2026-09-25T18:01:24.473Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-01-MR-02,2,4572306570,CANONICAL-FIRST,"Retro Halloween Shirt, Y2K Comfort Colors Tee, Vintage Black Cat Ghost Skeleton T Shirt, Spooky Cute Pumpkin Witch Graphic Tee",EverChangingJourney,https://www.etsy.com/listing/4572306570/retro-halloween-shirt-y2k-comfort-colors,https://i.etsystatic.com/9005412/r/il/ebef48/8549243111/il_510x638.8549243111_62g6.jpg,CANDIDATE,ORIGIN-PENDING,Fixed graphic-shirt candidate; item page opened; mandatory cross-market origin searches not yet run.,YES,2026-09-25T18:06:27.954Z,YES,ITEM-SPECIFIC,3,2026-09-24,EXACT,NOT-RUN,RECENT-SALES-BADGE,17,Ranked provenance candidate only; all three origin searches and final Gate 0 remain open; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,01-MR,1,graphic t shirt,Most relevant,COMPLETE,2026-09-25T18:01:24.473Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-01-MR-03,3,4561561694,CANONICAL-FIRST,Vintage Princess Donut and Mongo Shirt Dungeon Crawler Carl Bookish Merch Vintage T-Shirt Fantasy Book Lover Gift LitRPG Graphic Tee,Mantulacreativeart,https://www.etsy.com/listing/4561561694/vintage-princess-donut-and-mongo-shirt,https://i.etsystatic.com/22740522/r/il/09e3db/8471709935/il_510x638.8471709935_rxbo.jpg,IP-EXCLUDED,IP-EXCLUDED,Dungeon Crawler Carl named characters/property,NO,,,,,,,NOT-APPLICABLE-EXCLUDED,,,First occurrence retained; not in a cohort queue after evidence/disposition checks; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,01-MR,1,graphic t shirt,Most relevant,COMPLETE,2026-09-25T18:01:24.473Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-01-MR-04,4,4542206896,CANONICAL-FIRST,"Jimothy Raccoon Shirt, Viral Seattle Feral Legend Comfort Colors Tee, Retro Jimothy Moon Graphic Tshirt, Round King  Cottagecore Animal Tee",SKWILART,https://www.etsy.com/listing/4542206896/jimothy-raccoon-shirt-viral-seattle,https://i.etsystatic.com/64643122/r/il/1e065b/8284714262/il_510x638.8284714262_o0ui.jpg,IP-EXCLUDED,IP-EXCLUDED,Title/thumbnail depend on the viral/famous Jimothy Seattle raccoon.,YES,2026-09-25T18:06:30.093Z,YES,ITEM-SPECIFIC,81,2026-09-25,EXACT,NOT-APPLICABLE-EXCLUDED,,,First occurrence retained; not in a cohort queue after evidence/disposition checks; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,01-MR,1,graphic t shirt,Most relevant,COMPLETE,2026-09-25T18:01:24.473Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-01-MR-05,5,4563877335,CANONICAL-FIRST,"Lake Ontario Shirt, Great Lakes Sunset Graphic Tee, Retro Canada Vacation Gift, Cottage Country Outdoor Comfort Colors Shirt",TheMeroPixel,https://www.etsy.com/listing/4563877335/lake-ontario-shirt-great-lakes-sunset,https://i.etsystatic.com/60585799/r/il/7c9274/8488789127/il_510x638.8488789127_54dq.jpg,CANDIDATE,ORIGIN-PENDING,Fixed graphic-shirt candidate; item page opened; mandatory cross-market origin searches not yet run.,YES,2026-09-25T18:06:32.712Z,YES,ITEM-SPECIFIC,9,2026-09-17,EXACT,NOT-RUN,RECENT-SALES-BADGE,11,Ranked provenance candidate only; all three origin searches and final Gate 0 remain open; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,01-MR,1,graphic t shirt,Most relevant,COMPLETE,2026-09-25T18:01:24.473Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-01-MR-06,6,4332571417,CANONICAL-FIRST,Salty Girl Tee: Women's Vintage Cotton Blend T-Shirt,Tokfun,https://www.etsy.com/listing/4332571417/salty-girl-tee-womens-vintage-cotton,https://i.etsystatic.com/56464862/r/il/769de2/7005653692/il_510x638.7005653692_m12a.jpg,CANDIDATE,ORIGIN-PENDING,Fixed graphic-shirt candidate; item page opened; mandatory cross-market origin searches not yet run.,YES,2026-09-25T18:06:35.442Z,YES,ITEM-SPECIFIC,815,2026-09-25,EXACT,NOT-RUN,RECENT-SALES-BADGE,1,Ranked provenance candidate only; all three origin searches and final Gate 0 remain open; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,01-MR,1,graphic t shirt,Most relevant,COMPLETE,2026-09-25T18:01:24.473Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-01-MR-07,7,4461627567,CANONICAL-FIRST,Comfort Colors Banjo Bear & Bird T-Shirt | Retro Folk Music Animal Graphic Tee | Nature Lover Gift | Country Bluegrass Art | Unisex,ClothingByShane,https://www.etsy.com/listing/4461627567/comfort-colors-banjo-bear-bird-t-shirt,https://i.etsystatic.com/16458938/r/il/cd33de/8477071984/il_510x638.8477071984_6pse.jpg,CANDIDATE,ORIGIN-PENDING,Fixed graphic-shirt candidate; item page opened; mandatory cross-market origin searches not yet run.,YES,2026-09-25T18:06:37.944Z,NO,ITEM-SPECIFIC,4,2026-07-14,EXACT,NOT-RUN,,,First occurrence retained; not in a cohort queue after evidence/disposition checks; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,01-MR,1,graphic t shirt,Most relevant,COMPLETE,2026-09-25T18:01:24.473Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-01-MR-08,8,4517356927,CANONICAL-FIRST,Vintage Butterfly Botanical Chart Shirt Nature Moth Comfort Colors Tee,BeeDesignCollection,https://www.etsy.com/listing/4517356927/vintage-butterfly-botanical-chart-shirt,https://i.etsystatic.com/36735606/r/il/7f169c/8104212156/il_510x638.8104212156_1h7b.jpg,CANDIDATE,ORIGIN-PENDING,Fixed graphic-shirt candidate; item page opened; mandatory cross-market origin searches not yet run.,YES,2026-09-25T18:06:40.215Z,YES,ITEM-SPECIFIC,5,2026-09-23,EXACT,NOT-RUN,RECENT-SALES-BADGE,14,Ranked provenance candidate only; all three origin searches and final Gate 0 remain open; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,01-MR,1,graphic t shirt,Most relevant,COMPLETE,2026-09-25T18:01:24.473Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-01-MR-09,9,4550187840,CANONICAL-FIRST,Princess Donut and Mongo Shirt Dungeon Crawler Carl Bookish Merch Vintage Comfort Colors T-Shirt Fantasy Book Lover Gift LitRPG Graphic Tee,malaniaa,https://www.etsy.com/listing/4550187840/princess-donut-and-mongo-shirt-dungeon,https://i.etsystatic.com/21779919/r/il/3591b6/8389192489/il_510x638.8389192489_73d6.jpg,IP-EXCLUDED,IP-EXCLUDED,Dungeon Crawler Carl named characters/property,NO,,,,,,,NOT-APPLICABLE-EXCLUDED,,,First occurrence retained; not in a cohort queue after evidence/disposition checks; no SDC created.
