RECORD_TYPE,ORIGIN_RUN_ID,PILOT_ID,OBSERVATION_ID,EXPRESSION_FAMILY_ID,QUERY_TYPE,APPLICABILITY,NA_REASON,SURFACE_ROLE,ENGINE_OR_SURFACE,SOURCE_DOMAIN,QUERY_EXACT,SEARCH_URL,SEARCHED_AT_UTC,LOCALE,ACCESS_STATUS,ORGANIC_TARGET,ORGANIC_COUNT,ANALYST,RUN_NOTES,RESULT_ORDINAL,RESULT_URL,FINAL_URL,DOMAIN_OR_PLATFORM,RESULT_TITLE,SELLER_CREATOR,SELLER_RELATION,VISIBLE_PUBLICATION_DATE,MATCH_ELEMENTS,MATERIAL_MATCH,TRACEABLE_SOURCE,MATCH_NOTES,REPRESENTATIVE,CANONICAL_OBSERVATION_ID,EXPECTED_RUNS,COMPLETED_RUNS,NA_RUNS,BLOCKED_RUNS,CROSS_SELLER_RECURRENCE,TRACEABLE_CREATOR_OR_RIGHTS_SOURCE,PROVENANCE_CONFIDENCE,PROVENANCE_BASIS,FINAL_GATE0_DISPOSITION,DECISION_RATIONALE,DECIDED_BY,DECIDED_AT_UTC,LIMITATIONS
SEARCH_RUN,TRACE-P002-ORIGIN-ETSY-B01-W-SRC,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,SOURCE-DOMAIN,OpenAI web search,etsy.com,"""All these flavors and you choose to be salty"" shirt",UNAVAILABLE — search-service result-page URL not exposed,2026-09-25T18:19:40.361Z,United States / English,COMPLETE-10,10,10,Codex / TRACE provenance reviewer,First organic results returned by the search service were reviewed and recorded by ordinal; sponsored modules were not counted.,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-SRC,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,SOURCE-DOMAIN,,,,,,,,,,,,1,https://www.etsy.com/market/all_these_flavors_and_you_choose_to_be_salty_shirt,NOT-OPENED — search title/snippet reviewed,etsy.com,All These Flavors and You Choose to Be Salty Shirt - Etsy,UNAVAILABLE — not exposed in search result,UNKNOWN,UNAVAILABLE — no stable listing/publication date exposed,distinctive salty phrase,YES,UNRESOLVED,Exact/material wording recurrence visible in the result title or candidate record.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-SRC,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,SOURCE-DOMAIN,,,,,,,,,,,,2,https://www.etsy.com/listing/4445446897/salty-t-shirt-funny-sarcastic-shirt,NOT-OPENED — search title/snippet reviewed,etsy.com,Salty T Shirt Funny Sarcastic Shirt Vintage Style Graphic Tee Comfort Colors Shirt Moody Humor Gift Casual Everyday Tee - Etsy,UNAVAILABLE — not exposed in search result,UNKNOWN,UNAVAILABLE — no stable listing/publication date exposed,salty wording only,UNCERTAIN,UNRESOLVED,"Result shares generic salty wording, but the title/snippet does not establish the candidate's full expression.",NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-SRC,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,SOURCE-DOMAIN,,,,,,,,,,,,3,https://www.etsy.com/listing/1765236027/all-these-flavors-and-you-choose-to-be,NOT-OPENED — search title/snippet reviewed,etsy.com,"All These Flavors and You Choose to Be Salty Shirt, Humorous Shirt, Funny Shirt, Tee, Melanin Shirt, Gift of Her Shirt, Melanin Queen - Etsy",UNAVAILABLE — not exposed in search result,UNKNOWN,UNAVAILABLE — no stable listing/publication date exposed,distinctive salty phrase,YES,UNRESOLVED,Exact/material wording recurrence visible in the result title or candidate record.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-SRC,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,SOURCE-DOMAIN,,,,,,,,,,,,4,https://www.etsy.com/listing/4487469041/salty-girl-tee-womens-vintage-cotton,https://www.etsy.com/listing/4487469041/salty-girl-tee-womens-vintage-cotton,etsy.com,Funny Salty Girl Shirt | Women Graphic Tee Vintage Style Soft Cotton T-shirt | Gift for Her | V Neck & Crew Neck - Etsy,BanuTees,UNRELATED-SELLER,UNAVAILABLE — no stable listing/publication date exposed,exact phrase; umbrella figure; salt/SALTY motif,YES,UNRESOLVED,Opened imagery shows the exact distinctive wording and materially matching umbrella-and-salt composition.,YES,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-SRC,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,SOURCE-DOMAIN,,,,,,,,,,,,5,https://www.etsy.com/ca/listing/4495682651/all-these-flavors-and-you-choose-to-be,NOT-OPENED — search title/snippet reviewed,etsy.com,All These Flavors and You Choose to Be Salty T-shirt - Etsy,UNAVAILABLE — not exposed in search result,UNKNOWN,UNAVAILABLE — no stable listing/publication date exposed,distinctive salty phrase,YES,UNRESOLVED,Exact/material wording recurrence visible in the result title or candidate record.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-SRC,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,SOURCE-DOMAIN,,,,,,,,,,,,6,https://www.etsy.com/listing/4516244657/salty-girl-shirt-funny-salty-women-tee,NOT-OPENED — search title/snippet reviewed,etsy.com,Salty Girl Shirt - Funny Salty Women Tee - All These Flavors Choose to Be Salty Gift for Her - 90s Vintage Comfort Colors Graphic Tee - Etsy UK,UNAVAILABLE — not exposed in search result,UNKNOWN,UNAVAILABLE — no stable listing/publication date exposed,distinctive salty phrase,YES,UNRESOLVED,Exact/material wording recurrence visible in the result title or candidate record.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-SRC,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,SOURCE-DOMAIN,,,,,,,,,,,,7,https://www.etsy.com/listing/835325726/all-these-flavors-and-you-choose-to-be,NOT-OPENED — search title/snippet reviewed,etsy.com,All These Flavors and You Choose to Be Salty - Etsy,UNAVAILABLE — not exposed in search result,UNKNOWN,UNAVAILABLE — no stable listing/publication date exposed,distinctive salty phrase,YES,UNRESOLVED,Exact/material wording recurrence visible in the result title or candidate record.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-SRC,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,SOURCE-DOMAIN,,,,,,,,,,,,8,https://www.etsy.com/listing/707529852/all-these-flavors-and-you-chose-to-be,NOT-OPENED — search title/snippet reviewed,etsy.com,"All These Flavors and You Chose to Be Salty Shirt, Unisex T-shirt, Funny Saying Shirt, Funny Slogan Shirt, Sassy Shirt, Sarcastic Shirt - Etsy",UNAVAILABLE — not exposed in search result,UNKNOWN,UNAVAILABLE — no stable listing/publication date exposed,distinctive salty phrase,YES,UNRESOLVED,Exact/material wording recurrence visible in the result title or candidate record.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-SRC,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,SOURCE-DOMAIN,,,,,,,,,,,,9,https://www.etsy.com/listing/4332571417/salty-girl-tee-womens-vintage-cotton,https://www.etsy.com/listing/4332571417/salty-girl-tee-womens-vintage-cotton,etsy.com,Salty Girl Tee: Women's Vintage Cotton Blend T-shirt - Etsy,Tokfun,SOURCE-SELLER,UNAVAILABLE — no stable listing/publication date exposed,distinctive salty phrase,YES,UNRESOLVED,Exact/material wording recurrence visible in the result title or candidate record.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-SRC,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,SOURCE-DOMAIN,,,,,,,,,,,,10,https://www.etsy.com/shop/TeeZeeStyle,NOT-OPENED — search title/snippet reviewed,etsy.com,TeeZeeStyle - Etsy,UNAVAILABLE — not exposed in search result,UNKNOWN,UNAVAILABLE — no stable listing/publication date exposed,no material candidate elements established,NO,UNRESOLVED,No material match is visible in the result title/snippet; retained because it is within the first 10 organic results.,NO,,,,,,,,,,,,,,
SEARCH_RUN,TRACE-P002-ORIGIN-ETSY-B01-W-WEB,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,OPEN-WEB,OpenAI web search,,"""All these flavors and you choose to be salty"" shirt",UNAVAILABLE — search-service result-page URL not exposed,2026-09-25T18:19:40.361Z,United States / English,COMPLETE-10,10,10,Codex / TRACE provenance reviewer,First organic results returned by the search service were reviewed and recorded by ordinal; sponsored modules were not counted.,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-WEB,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,OPEN-WEB,,,,,,,,,,,,1,https://www.etsy.com/market/all_these_flavors_and_you_choose_to_be_salty_shirt,NOT-OPENED — search title/snippet reviewed,etsy.com,All These Flavors and You Choose to Be Salty Shirt - Etsy,UNAVAILABLE — not exposed in search result,UNKNOWN,UNAVAILABLE — no stable listing/publication date exposed,distinctive salty phrase,YES,UNRESOLVED,Exact/material wording recurrence visible in the result title or candidate record.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-WEB,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,OPEN-WEB,,,,,,,,,,,,2,https://www.walmart.com/ip/20819756006,NOT-OPENED — search title/snippet reviewed,walmart.com,All These Flavors AND you choose to be salty T-Shirt - Walmart.com,UNAVAILABLE — not exposed in search result,UNKNOWN,UNAVAILABLE — no stable listing/publication date exposed,distinctive salty phrase,YES,UNRESOLVED,Exact/material wording recurrence visible in the result title or candidate record.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-WEB,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,OPEN-WEB,,,,,,,,,,,,3,https://www.teepublic.com/t-shirt/27689340-all-these-flavors-and-you-choose-to-be-salty,https://www.teepublic.com/t-shirt/27689340-all-these-flavors-and-you-choose-to-be-salty,teepublic.com,All these flavors and you choose to be salty - Salty Meme - T-Shirt | TeePublic,Sourdigitals,UNRELATED-SELLER,UNAVAILABLE — no stable listing/publication date exposed,distinctive salty phrase,YES,UNRESOLVED,Opened result identifies Sourdigitals as seller; the exact phrase recurs on a separate marketplace. This result was not treated as proof of identical artwork.,YES,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-WEB,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,OPEN-WEB,,,,,,,,,,,,4,https://www.walmart.com/ip/20670617219,NOT-OPENED — search title/snippet reviewed,walmart.com,"All These Flavors and You Choose to Be Salty Meme Humor T-Shirt, Unisex T-Shirt - Walmart.com",UNAVAILABLE — not exposed in search result,UNKNOWN,UNAVAILABLE — no stable listing/publication date exposed,distinctive salty phrase,YES,UNRESOLVED,Exact/material wording recurrence visible in the result title or candidate record.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-WEB,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,OPEN-WEB,,,,,,,,,,,,5,https://www.teepublic.com/t-shirt/58422062-all-these-flavors-and-you-choose-to-be-salty,NOT-OPENED — search title/snippet reviewed,teepublic.com,all these flavors and you choose to be salty - Salty Meme - T-Shirt | TeePublic,UNAVAILABLE — not exposed in search result,UNKNOWN,UNAVAILABLE — no stable listing/publication date exposed,distinctive salty phrase,YES,UNRESOLVED,Exact/material wording recurrence visible in the result title or candidate record.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-WEB,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,OPEN-WEB,,,,,,,,,,,,6,https://www.walmart.com/ip/20651200604,NOT-OPENED — search title/snippet reviewed,walmart.com,"All These Flavors and You Choose to Be Salty Meme Humor T-Shirt, Unisex T-Shirt - Walmart.com",UNAVAILABLE — not exposed in search result,UNKNOWN,UNAVAILABLE — no stable listing/publication date exposed,distinctive salty phrase,YES,UNRESOLVED,Exact/material wording recurrence visible in the result title or candidate record.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-WEB,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,OPEN-WEB,,,,,,,,,,,,7,https://www.walmart.com/ip/20618423276,NOT-OPENED — search title/snippet reviewed,walmart.com,"All These Flavors and You Choose to Be Salty Meme Humor T-Shirt, Unisex T-Shirt - Walmart.com",UNAVAILABLE — not exposed in search result,UNKNOWN,UNAVAILABLE — no stable listing/publication date exposed,distinctive salty phrase,YES,UNRESOLVED,Exact/material wording recurrence visible in the result title or candidate record.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-WEB,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,OPEN-WEB,,,,,,,,,,,,8,https://www.walmart.com/ip/20805367848,NOT-OPENED — search title/snippet reviewed,walmart.com,All These Flavors AND you choose to be salty T-Shirt - Walmart.com,UNAVAILABLE — not exposed in search result,UNKNOWN,UNAVAILABLE — no stable listing/publication date exposed,distinctive salty phrase,YES,UNRESOLVED,Exact/material wording recurrence visible in the result title or candidate record.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-WEB,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,OPEN-WEB,,,,,,,,,,,,9,https://www.walmart.com/ip/16748969003,NOT-OPENED — search title/snippet reviewed,walmart.com,"All These Flavors And You Choose To Be Salty T-Shirt – Funny Sassy Quote Graphic Tee, Playful Attitude Statement Shirt, Casual Everyday Apparel for Men and Women - Walmart.com",UNAVAILABLE — not exposed in search result,UNKNOWN,UNAVAILABLE — no stable listing/publication date exposed,distinctive salty phrase,YES,UNRESOLVED,Exact/material wording recurrence visible in the result title or candidate record.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-W-WEB,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,EXACT-WORDING,REQUIRED,,OPEN-WEB,,,,,,,,,,,,10,https://www.walmart.com/ip/16778361782,NOT-OPENED — search title/snippet reviewed,walmart.com,"All These Flavors And You Choose To Be Salty T-Shirt – Funny Sassy Quote Graphic Tee, Playful Attitude Statement Shirt, Casual Everyday Apparel for Men and Women - Walmart.com",UNAVAILABLE — not exposed in search result,UNKNOWN,UNAVAILABLE — no stable listing/publication date exposed,distinctive salty phrase,YES,UNRESOLVED,Exact/material wording recurrence visible in the result title or candidate record.,NO,,,,,,,,,,,,,,
SEARCH_RUN,TRACE-P002-ORIGIN-ETSY-B01-T-SRC,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,CLEAN-TITLE,REQUIRED,,SOURCE-DOMAIN,OpenAI web search,etsy.com,"""Salty Girl Tee"" ""vintage cotton blend""",UNAVAILABLE — search-service result-page URL not exposed,2026-09-25T18:19:40.361Z,United States / English,COMPLETE-10,10,10,Codex / TRACE provenance reviewer,First organic results returned by the search service were reviewed and recorded by ordinal; sponsored modules were not counted.,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-T-SRC,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,CLEAN-TITLE,REQUIRED,,SOURCE-DOMAIN,,,,,,,,,,,,1,https://www.etsy.com/shop/Tokfun,NOT-OPENED — search title/snippet reviewed,etsy.com,Tokfun - Etsy,UNAVAILABLE — not exposed in search result,UNKNOWN,UNAVAILABLE — no stable listing/publication date exposed,no material candidate elements established,NO,UNRESOLVED,No material match is visible in the result title/snippet; retained because it is within the first 10 organic results.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-ORIGIN-ETSY-B01-T-SRC,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-01-MR-06,,CLEAN-TITLE,REQUIRED,,SOURCE-DOMAIN,,,,,,,,,,,,2,https://www.etsy.com/listing/4489901964/salty-girl-tee-womens-vintage-cotton,NOT-OPENED — search title/snippet reviewed,etsy.com,Salty Girl Tee: Women's Vintage Cotton Blend T-shirt - Etsy Denmark,UNAVAILABLE — not exposed in search result,UNKNOWN,UNAVAILABLE — no stable listing/publication date exposed,cleaned title phrase,YES,UNRESOLVED,Candidate or materially matching cleaned product title appears in the result.,NO,,,,,,,,,,,,,,
